uniqueID,title,Longitude,Latitude,clinicAddressLine1,clinicAddressLine2,suburb,state,postcode,locationInstructions,driveThroughTesting,wheelchairAccessible,walkInAllowed,bookingRequired,bookingLink,bookingPhoneNumber,ageLimit,referralRequired,mondayOpeningHours,mondayBreakStartTime,mondayBreakEndTime,mondayClosingHours,tuesdayOpeningHours,tuesdayBreakStartTime,tuesdayBreakEndTime,tuesdayClosingHours,wednesdayOpeningHours,wednesdayBreakStartTime,wednesdayBreakEndTime,wednesdayClosingHours,thursdayOpeningHours,thursdayBreakStartTime,thursdayBreakEndTime,thursdayClosingHours,fridayOpeningHours,fridayBreakStartTime,fridayBreakEndTime,fridayClosingHours,saturdayOpeningHours,saturdayBreakStartTime,saturdayBreakEndTime,saturdayClosingHours,sundayOpeningHours,sundayBreakStartTime,sundayBreakEndTime,sundayClosingHours,specialInstructions,resultsInstructions,closureInstructions,ageRestrictionInstructions,bookingInstructions,otherInstructions,providerWebsite,lastUpdated
CID00001,Albion Park Southern.IML Pathology Drive-through Clinic,150.777569997778,-34.5701408321722,,Croome Road,Albion Park,NSW,2527,Entry via East/West Link,Y,Y,N,N,,,,N,8:00 AM,,,3:00 PM,8:00 AM,,,3:00 PM,8:00 AM,,,3:00 PM,8:00 AM,,,3:00 PM,8:00 AM,,,3:00 PM,8:00 AM,,,3:00 PM,,,,,,1300 652 200,,,,Closed on public holidays.,https://www.southernpath.com.au/,2023-04-18 4:00 pm
CID00010,Armidale Douglass Hanly Moir Pathology Walk-in Clinic,151.658462511357,-30.5127852016344,,210 Rusden Street,Armidale,NSW,2350,,N,N,Y,N,,,,N,8:30 AM,,,3:00 PM,8:30 AM,,,3:00 PM,8:30 AM,,,3:00 PM,8:30 AM,,,3:00 PM,8:30 AM,,,3:00 PM,,,,,,,,,,(02) 9855 6116,,,,,https://www.dhm.com.au/,2023-04-04 2:45 pm
CID00012,Arncliffe Histopath Pathology Drive-through Clinic,151.15049,-33.94474,Riverine Park,Corner Spring Street and West Botany Street,Arncliffe,NSW,2205,,Y,Y,N,N,,,,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,,,,,,,,,(02) 9878 8111,,,,,https://www.histopath.com.au/,2023-04-18 9:46 am
CID00013,Ashfield Clinical Labs Pathology Walk-in Clinic,151.124887598116,-33.8889792503112,,236 Liverpool Road,Ashfield,NSW,2131,,N,N,Y,N,,,,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,1300 134 111,,,,,https://www.clinicallabs.com.au/about-us/doctor-media-releases/novel-coronavirus-nsw/,2023-04-04 2:45 pm
CID00014,Auburn Central Clinical Labs Pathology Walk In Clinic,151.031782779948,-33.8504334311645,Town Square,Queen Street,Auburn,NSW,2144,,N,Y,Y,N,,,,N,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,,(02) 8745 6500,,,,,https://www.clinicallabs.com.au/,2023-03-23 8:45 am
CID00019,Ballina 4Cyte Pathology Drive-through Clinic,153.551123653074,-28.8664150738336,,319 River Street,Ballina,NSW,2478,,Y,Y,N,N,,,,N,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,,13 42 98,,,,,https://www.4cyte.com.au/,2023-04-24 10:15 am
CID00022,Balranald Drive-through Clinic,143.568408173827,-34.6444660020456,Balranald Multipurpose Service,Court Street,Balranald,NSW,2715,,Y,Y,N,N,,,5+,N,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,,,,,,,,,,,,"Children under the age 5 years will not be tested at this clinic.
Children should attend their nearest Emergency Department or local GP so a full medical assessment can be undertaken.",Emergency Department at Balranald Multi-Purpose Health Service is open 24/7 for urgent presentations.,Closed on public holidays.,,2023-01-18 9:16 am
CID00023,Bankstown 4Cyte Pathology Walk-in Clinic,151.032748,-33.914917,,48 Kitchener Parade,Bankstown,NSW,2200,,N,Y,Y,N,,,,N,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,,13 42 98,,,,,https://www.4cyte.com.au/,2023-04-24 12:00 pm
CID00027,Baradine Multi-Purpose Service Clinic,149.066511505357,-30.9450321594829,,37A Macquarie Street,Baradine,NSW,2396,,N,Y,Y,Y,,(02) 5849 9000,,N,,,,,,,,,1:30 PM,,,2:30 PM,,,,,,,,,,,,,,,,,,,,,Will screen and test if unwell 24/7.,,,2022-12-20 11:45 am
CID00028,Barden Ridge Histopath Pathology Drive-through Clinic,150.994792,-34.03324,The Ridge Athletic Track,Recreation Drive,Barden Ridge,NSW,2234,,Y,Y,N,N,,,,N,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,,(02) 9878 8111,,,,,https://www.histopath.com.au/,2023-04-18 9:00 am
